                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.91709,                0.62814,                 1.1882,                  0.913,                      1,                 0.9875,                0.77493,                0.91636,                0.60811,                0.99142,               0.001307,               0.001307,               0.001307
                     37,                0.86072,                0.63473,                 1.1654,                0.99134,                      1,                  0.995,                0.80166,                0.78295,                0.54509,                0.95738,              0.0012872,              0.0012872,              0.0012872
                     38,                0.91889,                0.66224,                 1.1711,                0.99399,                      1,                  0.995,                0.74713,                 0.9448,                0.58559,                 1.0186,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87761,                0.65664,                 1.1716,                0.99053,                      1,                  0.995,                0.78206,                 0.8964,                0.59028,                0.96067,              0.0012476,              0.0012476,              0.0012476
                     40,                0.88276,                0.64273,                 1.1634,                0.98889,                      1,                  0.995,                0.85001,                0.62483,                0.52289,                0.87563,              0.0012278,              0.0012278,              0.0012278
                     41,                0.88245,                 0.6295,                 1.1547,                0.99048,                      1,                  0.995,                0.81929,                0.77729,                0.50835,                0.94523,               0.001208,               0.001208,               0.001208
                     42,                 0.8582,                0.64474,                 1.1539,                0.98476,                      1,                  0.995,                0.81257,                0.75122,                0.51289,                0.93309,              0.0011882,              0.0011882,              0.0011882
                     43,                0.84185,                0.61385,                 1.1325,                0.99404,                      1,                  0.995,                0.86538,                0.66722,                0.48177,                0.91404,              0.0011684,              0.0011684,              0.0011684
                     44,                0.81324,                0.56523,                 1.1319,                0.99192,                      1,                  0.995,                0.82382,                0.76077,                 0.4871,                 0.9097,              0.0011486,              0.0011486,              0.0011486
                     45,                0.79991,                0.57848,                  1.115,                0.99449,                      1,                  0.995,                0.76388,                0.91671,                0.48354,                0.95798,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.8607,                 0.5755,                  1.165,                0.99133,                      1,                  0.995,                0.82379,                0.80954,                0.48741,                0.93543,               0.001109,               0.001109,               0.001109
                     47,                0.85389,                0.63122,                  1.152,                0.98997,                      1,                  0.995,                0.82391,                0.72454,                0.47268,                0.91609,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88233,                0.65257,                 1.2098,                0.99377,                      1,                  0.995,                0.82343,                0.69001,                 0.4902,                0.89742,              0.0010694,              0.0010694,              0.0010694
                     49,                0.83414,                0.57256,                 1.1635,                0.99337,                      1,                  0.995,                0.78282,                0.88236,                 0.4872,                0.96966,              0.0010496,              0.0010496,              0.0010496
                     50,                0.90135,                0.60666,                 1.2039,                0.99504,                      1,                  0.995,                0.75608,                 1.0004,                0.50886,                0.99647,              0.0010298,              0.0010298,              0.0010298
                     51,                0.83154,                0.58515,                 1.1612,                 0.9891,                      1,                  0.995,                0.84318,                 0.6714,                0.43197,                0.88523,                0.00101,                0.00101,                0.00101
                     52,                0.85468,                0.61161,                 1.1602,                0.99163,                      1,                  0.995,                0.80778,                0.75487,                0.45125,                0.88901,              0.0009902,              0.0009902,              0.0009902
                     53,                0.76267,                0.54377,                 1.0699,                 0.9936,                      1,                  0.995,                0.80047,                0.84086,                0.45238,                0.91763,              0.0009704,              0.0009704,              0.0009704
                     54,                0.78634,                0.54731,                 1.1003,                0.99469,                      1,                  0.995,                0.80915,                0.88988,                0.47694,                0.95376,              0.0009506,              0.0009506,              0.0009506
                     55,                0.88302,                0.59853,                  1.178,                0.99491,                      1,                  0.995,                0.80285,                 0.8157,                0.43951,                 0.9363,              0.0009308,              0.0009308,              0.0009308
                     56,                0.80125,                0.55987,                 1.1146,                0.99513,                      1,                  0.995,                0.88469,                0.57508,                0.36596,                0.85827,               0.000911,               0.000911,               0.000911
                     57,                 0.8137,                0.54782,                  1.118,                0.99524,                      1,                  0.995,                0.79374,                0.68204,                0.39502,                0.89378,              0.0008912,              0.0008912,              0.0008912
